0;-570.5691,2,154.3411
11;-574.9845,2,155.1736
13;-575.2726,2,156.2252
4;-573.7709,2,156.7577
9;-572.6438,2,158.097
8;-575.6928,2,158.8068
0;-573.5547,2,159.3721
11;-571.2117,2,160.0618
11;-573.546,2,161.6
7;-574.1857,2,162.4457
11;-575.6882,2,163.9396
9;-575.6219,2,164.2299
5;-575.9931,2,165.5184
10;-575.8711,2,166.5842
2;-571.0844,2,166.1646
6;-572.6258,2,167.6973
6;-571.5013,2,168.681
10;-570.1334,2,169.3983
0;-575.5087,2,170.6934
3;-568.9279,2,171.1569
2;-574.4592,2,172.4591
1;-570.4241,2,173.0713
5;-572.5414,2,173.4477
6;-573.0741,2,174.6296
1;-570.8342,2,175.6092
0;-574.6483,2,176.5228
3;-573.6534,2,177.9219
1;-569.2994,2,177.6274
11;-570.5497,2,178.9299
11;-571.3896,2,179.7598
1;-569.8083,2,181.1422
6;-567.9391,2,181.0991
10;-568.4484,2,182.1737
11;-573.1689,2,184.0615
5;-569.4144,2,183.9849
5;-570.3817,2,185.5959
1;-572.0531,2,186.2933
13;-572.5139,2,187.4371
5;-567.6572,2,187.3669
5;-568.1293,2,188.6802
10;-572.416,2,189.4735
5;-571.712,2,190.6652
2;-568.3741,2,191.0641
1;-573.4177,2,192.9358
3;-573.5998,2,193.2608
1;-573.0856,2,194.5209
9;-566.5651,2,194.7056
0;-569.0518,2,195.7801
12;-567.3612,2,196.3752
0;-566.7637,2,197.3993
0;-569.8235,2,198.2079
12;-570.5012,2,199.6531
11;-571.7337,2,200.2855
2;-568.9233,2,201.1675
2;-568.2369,2,201.9402
11;-565.6223,2,202.2405
8;-569.5153,2,203.7293
0;-571.1912,2,204.849
8;-571.8416,2,205.8645
9;-570.9794,2,206.2876
10;-571.7475,2,207.4193
13;-568.2969,2,207.8102
13;-565.7168,2,209.0854
2;-565.327,2,209.7857
9;-565.0269,2,210.2919
9;-570.9313,2,212.424
8;-566.9915,2,212.5401
4;-567.3907,2,213.6556
1;-564.8303,2,214.4597
2;-567.2885,2,214.9816
5;-564.2107,2,216.0703
6;-565.7961,2,217.0639
6;-564.3957,2,217.5185
6;-568.5654,2,218.7214
4;-568.0574,2,219.3562
8;-564.0046,2,219.927
3;-564.9204,2,221.2626
3;-567.6759,2,222.3902
0;-568.5449,2,223.2514
2;-566.181,2,224.4036
5;-565.4952,2,225.0409
2;-565.5693,2,226.0804
0;-565.9559,2,226.9241
1;-570.0171,2,228.3218
3;-569.5969,2,228.8756
0;-565.5241,2,229.2015
